team_id;shortName;teamName;abbreviation
1;New Jersey;Devils;NJD
4;Philadelphia;Flyers;PHI
26;Los Angeles;Kings;LAK
14;Tampa Bay;Lightning;TBL
6;Boston;Bruins;BOS
565;12;
3;NY Rangers;Rangers;NYR
5;Pittsburgh;Penguins;PIT
17;Detroit;Red Wings;DET
28;San Jose;Sharks;SJS

18;Nashville;Predators;NSH
23;Vancouver;Canucks;VAN
16;Chicago;Blackhawks;CHI
9;Ottawa;Senators;OTT
8;Montreal;Canadiens;MTL
30;Minnesota;Wild;MIN
15;Washington;Capitals;WSH
50;
19;St Louis;Blues;STL
24;Anaheim;Ducks;ANA
27;Phoenix;Coyotes;PHX
2;NY Islanders;Islanders;NYI
10;Toronto;Maple Leafs;TOR
13;Florida;Panthers;FLA
7;Buffalo;Sabres;BUF
20;Calgary;Flames;CGY
21;Colorado;Avalanche;COL
25;Dallas;Stars;DAL
chybný řádek
29;Columbus;Blue Jackets;CBJ
52;Winnipeg;Jets;WPG
22;Edmonton;Oilers;EDM
54;Vegas;Golden Knights;VGK
12;Carolina;Hurricanes;CAR
53;Arizona;Coyotes;ARI
11;Atlanta;Thrashers;ATL

